ประเภทค่าใช้จ่าย*,2558,2559,2560,2561,2562,2563,2564
อาหาร เครื่องดื่ม และยาสูบ,33.7%,36.1%,35%,34.8%,33.9%,35.6%,35.5%
ค่าที่อยู่อาศัยและเครื่องใช้ภายในบ้าน,20.4%,19.7%,20%,19.8%,21%,20.6%,21.4%
การเดินทางและยานพาหนะ,18.3%,17.4%,17%,17.7%,17.3%,17.2%,16%
ใช้ส่วนบุคคล/เครื่องนุ่งห่ม/รองเท้า,6%,5.2%,5%,5%,5.9%,4.7%,4.9%
การสื่อสาร,3.3%,3.4%,3%,3.9%,3.7%,4%,4%
การบันเทิง/การจัดงานพิธี,1.4%,1.2%,1%,1.1%,0.9%,1%,1%
การศึกษา,1.7%,1.7%,2%,1.7%,1.5%,1.5%,1.6%
เวชภัณฑ์/ค่ารักษาพยาบาล,1.1%,1.4%,2%,1.5%,1.3%,1.5%,1.7%
กิจกรรมทางศาสนา,1.2%,1%,1%,1.1%,1%,0.9%,0.9%
"ค่าใช้จ่ายที่ไม่เกี่ยวกับการอุปโภคบริโภค เช่น ค่าภาษี ของขวัญ 
 เบี้ยประกันภัย ซื้อสลากกินแบง/หวย ดอกเบี้ย",12.9%,12.9%,N/A,13.4%,13.5%,13%,13%
