ลำดับ,เขต,ชุมชน (ชุมชน),ประชากร (คน),ครอบครัว (ครอบครัว),หลังคาเรือน (หลัง)
25,บางกอกน้อย,37,"104,566","24,109","17,076"
24,คลองเตย,39,"84,780","21,784","19,499"
43,ปทุมวัน,17,"28,031","8,196","5,557"
33,บางคอแหลม,28,"38,148","10,896","7,230"
8,ลาดกระบัง,65,"88,325","25,624","24,489"
37,สาทร,24,"32,077","8,994","5,411"
29,บางนา,34,"42,890","15,132","17,210"
5,หลักสี่,77,"96,430","19,341","17,867"
9,มีนบุรี,63,"76,028","21,436","20,055"
10,บางขุนเทียน,51,"60,038","13,802","13,443"
31,สะพานสูง,29,"32,000","9,768","8,513"
4,สายไหม,79,"86,847","25,419","24,903"
19,ธนบุรี,43,"46,376","16,944","14,929"
35,บางกะปิ,27,"28,835","8,700","8,283"
16,สวนหลวง,45,"47,408","9,506","8,558"
39,พญาไท,22,"22,958","6,364","5,982"
44,ทวีวัฒนา,17,"17,506","5,140","4,807"
42,วังทองหลาง,19,"19,123","5,570","4,694"
17,ประเวศ,45,"43,855","10,324","10,304"
28,คลองสาน,34,"33,024","10,219","7,339"
27,ลาดพร้าว,36,"34,435","13,194","11,931"
6,บางเขน,73,"69,281","22,503","22,396"
48,บางรัก,15,"14,165","4,452","3,213"
26,บึงกุ่ม,37,"34,245","10,702","10,365"
36,ราชเทวี,25,"23,071","8,198","5,942"
11,ภาษีเจริญ,51,"46,644","10,807","9,552"
14,จอมทอง,48,"43,767","12,111","9,125"
13,บางพลัด,48,"42,870","13,392","9,530"
38,ดินแดง,23,"19,950","12,049","6,184"
47,วัฒนา,16,"13,575","5,378","3,625"
2,ดอนเมือง,96,"80,879","26,030","26,073"
40,ห้วยขวาง,22,"18,528","4,481","3,805"
15,บางแค,47,"38,987","9,647","7,687"
32,ทุ่งครุ,29,"23,593","8,536","5,384"
45,ยานนาวา,17,"13,820","3,476","2,995"
7,หนองแขม,71,"55,310","17,811","16,741"
20,ดุสิต,43,"33,416","12,031","8,638"
3,คลองสามวา,84,"64,063","19,208","17,445"
22,คันนายาว,42,"32,001","10,362","9,776"
1,หนองจอก,99,"74,604","19,549","19,630"
12,บางซื่อ,50,"37,670","12,130","7,814"
41,พระนคร,20,"14,726","5,758","5,364"
23,จตุจักร,41,"28,540","10,067","9,109"
21,ตลิ่งชัน,43,"29,734","9,171","7,372"
49,ป้อมปราบศัตรูพ่าย,14,"8,332","2,898","2,841"
18,พระโขนง,44,"26,030","7,728","5,998"
34,ราษฎร์บูรณะ,28,"16,430","6,088","4,097"
30,บางกอกใหญ่,30,"17,108","4,728","3,981"
50,บางบอน,12,"6,533","2,141","2,472"
46,สัมพันธวงศ์,17,"5,117","1,907","2,100"
,รวม,"2,016","1,996,669","583,801","507,334"
